"State","Year","Min_Wage"
"AK","2001",5.65
"AK","2002",5.65
"AK","2003",7.15
"AK","2004",7.15
"AK","2005",7.15
"AK","2006",7.15
"AK","2007",7.15
"AK","2008",7.15
"AK","2009",7.15
"AK","2010",7.75
"AK","2011",7.75
"AK","2012",7.75
"AK","2013",7.75
"AK","2014",7.75
"AL","2001",NA
"AL","2002",NA
"AL","2003",NA
"AL","2004",NA
"AL","2005",NA
"AL","2006",NA
"AL","2007",NA
"AL","2008",NA
"AL","2009",NA
"AL","2010",NA
"AL","2011",NA
"AL","2012",NA
"AL","2013",NA
"AL","2014",NA
"AR","2001",5.15
"AR","2002",5.15
"AR","2003",5.15
"AR","2004",5.15
"AR","2005",5.15
"AR","2006",5.15
"AR","2007",6.25
"AR","2008",6.25
"AR","2009",6.25
"AR","2010",6.25
"AR","2011",6.25
"AR","2012",6.25
"AR","2013",6.25
"AR","2014",6.25
"AZ","2001",NA
"AZ","2002",NA
"AZ","2003",NA
"AZ","2004",NA
"AZ","2005",NA
"AZ","2006",NA
"AZ","2007",6.75
"AZ","2008",6.9
"AZ","2009",7.25
"AZ","2010",7.25
"AZ","2011",7.35
"AZ","2012",7.65
"AZ","2013",7.8
"AZ","2014",7.9
"CA","2001",6.25
"CA","2002",6.75
"CA","2003",6.75
"CA","2004",6.75
"CA","2005",6.75
"CA","2006",6.75
"CA","2007",7.5
"CA","2008",8
"CA","2009",8
"CA","2010",8
"CA","2011",8
"CA","2012",8
"CA","2013",8
"CA","2014",9
"CO","2001",5.15
"CO","2002",5.15
"CO","2003",5.15
"CO","2004",5.15
"CO","2005",5.15
"CO","2006",5.15
"CO","2007",6.85
"CO","2008",7.02
"CO","2009",7.28
"CO","2010",7.24
"CO","2011",7.36
"CO","2012",7.64
"CO","2013",7.78
"CO","2014",8
"CT","2001",6.4
"CT","2002",6.7
"CT","2003",6.9
"CT","2004",7.1
"CT","2005",7.1
"CT","2006",7.4
"CT","2007",7.65
"CT","2008",7.65
"CT","2009",8
"CT","2010",8.25
"CT","2011",8.25
"CT","2012",8.25
"CT","2013",8.25
"CT","2014",8.7
"DC","2001",6.15
"DC","2002",6.15
"DC","2003",6.15
"DC","2004",6.15
"DC","2005",6.6
"DC","2006",7
"DC","2007",7
"DC","2008",7
"DC","2009",7.55
"DC","2010",8.25
"DC","2011",8.25
"DC","2012",8.25
"DC","2013",8.25
"DC","2014",9.5
"DE","2001",6.15
"DE","2002",6.15
"DE","2003",6.15
"DE","2004",6.15
"DE","2005",6.15
"DE","2006",6.15
"DE","2007",6.65
"DE","2008",7.15
"DE","2009",7.15
"DE","2010",7.25
"DE","2011",7.25
"DE","2012",7.25
"DE","2013",7.25
"DE","2014",7.75
"FL","2001",NA
"FL","2002",NA
"FL","2003",NA
"FL","2004",NA
"FL","2005",NA
"FL","2006",6.4
"FL","2007",6.67
"FL","2008",6.79
"FL","2009",7.21
"FL","2010",7.25
"FL","2011",7.25
"FL","2012",7.67
"FL","2013",7.79
"FL","2014",7.93
"GA","2001",3.25
"GA","2002",5.15
"GA","2003",5.15
"GA","2004",5.15
"GA","2005",5.15
"GA","2006",5.15
"GA","2007",5.15
"GA","2008",5.15
"GA","2009",5.15
"GA","2010",5.15
"GA","2011",5.15
"GA","2012",5.15
"GA","2013",5.15
"GA","2014",5.15
"HI","2001",5.25
"HI","2002",5.75
"HI","2003",6.25
"HI","2004",6.25
"HI","2005",6.25
"HI","2006",6.75
"HI","2007",7.25
"HI","2008",7.25
"HI","2009",7.25
"HI","2010",7.25
"HI","2011",7.25
"HI","2012",7.25
"HI","2013",7.25
"HI","2014",7.25
"IA","2001",5.15
"IA","2002",5.15
"IA","2003",5.15
"IA","2004",5.15
"IA","2005",5.15
"IA","2006",5.15
"IA","2007",5.15
"IA","2008",7.25
"IA","2009",7.25
"IA","2010",7.25
"IA","2011",7.25
"IA","2012",7.25
"IA","2013",7.25
"IA","2014",7.25
